league,date,time,home_team,away_team,home_goals,away_goals,result,ps_home_odds,ps_draw_odds,ps_away_odds,max_home_odds,max_draw_odds,max_away_odds,avg_home_odds,avg_draw_odds,avg_away_odds,result_1x2,is_played,is_future,source_file,league_code,league_name_pl
SP1,2023-09-23,17:30,Barcelona,Celta,3,2,H,1.26,6.77,12.3,1.3,6.77,12.3,1.24,6.36,11.36,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-23,20:00,Almeria,Valencia,2,2,D,2.72,3.43,2.76,2.95,3.56,2.76,2.79,3.35,2.58,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-24,15:15,Vallecano,Villarreal,1,1,D,2.64,3.53,2.78,2.77,3.55,3.0,2.55,3.46,2.77,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-24,13:00,Sociedad,Getafe,4,3,H,1.71,3.43,6.71,1.73,3.74,7.5,1.68,3.4,6.52,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-24,17:30,Las Palmas,Granada,1,0,H,1.95,3.73,4.1,2.05,3.77,4.1,1.96,3.63,3.88,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-24,17:30,Betis,Cadiz,1,1,D,1.81,3.66,5.07,1.88,3.66,5.23,1.8,3.57,4.8,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-24,20:00,Ath Madrid,Real Madrid,3,1,H,2.87,3.38,2.65,3.15,3.5,2.7,2.81,3.33,2.59,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-26,18:00,Sevilla,Almeria,5,1,H,1.71,3.97,5.18,1.76,4.2,5.77,1.69,3.98,5.05,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-26,20:30,Mallorca,Barcelona,2,2,D,7.5,4.4,1.5,8.0,5.09,1.54,7.07,4.44,1.48,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-27,18:00,Ath Bilbao,Getafe,2,2,D,1.53,4.06,7.73,1.77,4.31,8.0,1.53,4.0,7.29,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-27,18:00,Real Madrid,Las Palmas,2,0,H,1.18,8.0,16.5,1.23,8.25,18.5,1.17,7.68,15.97,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-27,18:00,Villarreal,Girona,1,2,A,2.17,3.72,3.42,2.26,3.78,3.5,2.15,3.68,3.3,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-27,20:30,Cadiz,Vallecano,0,0,D,2.72,3.11,3.0,2.74,3.18,3.09,2.63,3.08,2.97,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-27,20:30,Valencia,Sociedad,0,1,A,2.57,3.02,3.31,2.63,3.2,3.32,2.52,3.03,3.2,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-28,20:30,Osasuna,Ath Madrid,0,2,A,4.21,3.48,2.01,4.33,3.55,2.02,4.05,3.45,1.99,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-28,18:00,Celta,Alaves,1,1,D,1.59,3.99,6.84,1.71,4.2,7.5,1.61,3.79,6.41,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-28,18:00,Granada,Betis,1,1,D,2.79,3.46,2.68,3.13,3.6,2.7,2.79,3.43,2.57,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-29,20:00,Barcelona,Sevilla,1,0,H,1.35,5.74,8.7,1.4,6.0,9.5,1.36,5.56,8.12,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-30,13:00,Getafe,Villarreal,0,0,D,2.79,3.14,2.86,2.95,3.25,3.07,2.76,3.12,2.8,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-30,15:15,Vallecano,Mallorca,2,2,D,2.03,3.26,4.46,2.19,3.4,4.6,2.02,3.22,4.23,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-30,17:30,Girona,Real Madrid,0,3,A,4.08,4.06,1.88,4.18,4.2,1.98,3.92,4.01,1.87,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-09-30,20:00,Sociedad,Ath Bilbao,3,0,H,2.32,3.14,3.66,2.35,3.25,4.1,2.28,3.11,3.58,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-01,20:00,Betis,Valencia,3,0,H,2.07,3.41,4.04,2.17,3.45,4.06,2.09,3.3,3.86,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-01,15:15,Alaves,Osasuna,0,2,A,2.59,3.02,3.32,2.69,3.1,3.55,2.52,3.02,3.2,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-01,13:00,Almeria,Granada,3,3,D,1.98,3.73,3.99,2.01,3.95,4.25,1.96,3.74,3.82,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-01,20:00,Ath Madrid,Cadiz,3,2,H,1.34,5.31,10.48,1.37,5.6,11.0,1.33,5.28,9.96,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-02,20:00,Las Palmas,Celta,2,1,H,3.02,3.09,2.72,3.11,3.2,2.76,2.92,3.13,2.65,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-06,20:00,Ath Bilbao,Almeria,3,0,H,1.32,5.66,9.41,1.39,6.01,11.0,1.32,5.66,9.65,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-07,15:15,Real Madrid,Osasuna,4,0,H,1.27,6.43,11.77,1.3,6.64,13.0,1.27,6.09,11.08,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-07,17:30,Mallorca,Valencia,1,1,D,2.57,3.0,3.35,2.7,3.1,3.37,2.5,2.98,3.22,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-07,20:00,Sevilla,Vallecano,2,2,D,1.83,3.79,4.65,1.9,3.86,4.65,1.84,3.68,4.39,X,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-07,13:00,Cadiz,Girona,0,1,A,3.39,3.43,2.22,3.58,3.5,2.3,3.29,3.4,2.25,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-08,13:00,Villarreal,Las Palmas,1,2,A,1.65,4.12,5.59,1.75,4.3,5.75,1.65,4.09,5.38,2,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-08,15:15,Ath Madrid,Sociedad,2,1,H,2.04,3.4,4.39,2.1,3.55,4.8,1.99,3.35,4.2,1,True,False,SPAIN_2324.csv,ESP,Esp
SP1,2023-10-08,17:30,Alaves,Betis,1,1,D,2.57,3.25,3.06,2.76,3.37,3.15,2.57,3.24,2.92,X,True,False,SPAIN_2324.csv,ESP,Esp
