league,date,time,home_team,away_team,home_goals,away_goals,result,ps_home_odds,ps_draw_odds,ps_away_odds,max_home_odds,max_draw_odds,max_away_odds,avg_home_odds,avg_draw_odds,avg_away_odds,result_1x2,is_played,is_future,source_file,league_code,league_name_pl
P1,2023-10-08,15:30,Famalicao,Guimaraes,1,3,A,2.94,3.07,2.77,2.99,3.2,2.77,2.85,3.07,2.64,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-10-08,18:00,Porto,Portimonense,1,0,H,1.17,8.39,15.69,1.2,8.39,17.78,1.17,7.53,15.4,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-10-27,20:15,Arouca,Moreirense,0,1,A,2.68,3.24,2.9,2.68,3.28,2.97,2.57,3.2,2.84,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-10-28,15:30,Portimonense,Estoril,1,0,H,2.52,3.64,2.81,2.62,3.64,2.81,2.52,3.44,2.71,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-10-28,18:00,Benfica,Casa Pia,1,1,D,1.22,6.95,14.17,1.24,6.95,16.0,1.21,6.49,12.91,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-10-28,18:00,Guimaraes,Chaves,5,0,H,1.69,4.0,5.29,1.71,4.1,5.5,1.68,3.88,4.99,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-10-28,20:30,Gil Vicente,Sp Braga,3,3,D,5.15,4.81,1.59,5.46,4.81,1.67,4.95,4.58,1.58,X,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-10-29,15:30,Rio Ave,Farense,3,4,A,2.49,3.38,3.03,2.49,3.42,3.06,2.43,3.32,2.94,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-10-29,18:00,Estrela,Famalicao,1,0,H,2.61,3.26,2.97,2.61,3.42,3.0,2.52,3.18,2.89,1,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
P1,2023-10-29,20:30,Vizela,Porto,0,2,A,8.02,4.83,1.43,8.5,5.0,1.45,7.46,4.77,1.41,2,True,False,PORTUGAL_2324.csv,PORTUGAL,PORTUGAL
